,PTY_PROFILE_SUB_TYPE,SOCIO_ECONOMIC_SEGMENT,PARTY_NATIONALITY,PARTY_GENDER_CD,TARGET,YEAR_JOINED,CURRENT_YEAR,BILL_AMOUNT,PAID_AMOUNT,PAYMENT_TRANSACTIONS,PARTY_REV,PREPAID_LINES,POSTPAID_LINES,OTHER_LINES,LINE_REV,STATUS,MOUS_TO_LOCAL_MOBILES,MOUS_FROM_LOCAL_MOBILES,MOUS_TO_LOCAL_LANDLINES,MOUS_FROM_LOCAL_LANDLINES,MOUS_TO_INT_NUMBER,MOUS_FROM_INT_NUMBER,DATA_IN_BNDL,DATA_OUT_BNDL,DATA_USG_PAYG,COMPLAINTS,Years_stayed
258631,Residential,EXPATS,Sri Lanka,M,0,2012,2019,58.39904574,68.33333333,1,538.245,0,3,0,53.06166667,ACTIVE,18.25,14.86,2.435,0.89,0,0,96.9140625,0,0,0,7
258632,Prestige,EXPATS,India,M,0,2012,2019,768.9404584,777.27,1,1408.551667,3,1,1,719.8966667,ACTIVE,100.69,10.425,21.23,69.18,129.465,59.33,443.0068359,0,0,0,7
258633,Residential,EXPATS,Canada,M,0,2012,2019,290.5849945,279.695,1,3131.985,4,5,2,253.5266667,ACTIVE,105.33,5.165,7.71,3.16,6.645,2.685,9349.12793,0,0,0,7
258634,Residential,EXPATS,India,M,0,2012,2019,320.5072239,249.09,1,507.8333333,0,1,1,208.6833333,ACTIVE,211.46,259.185,6.46,168.42,1.515,1.425,0,0,90.5,0,7
258635,Residential,EXPATS,South Africa,M,0,2012,2019,236.9583153,281.6666667,2,653.995,1,2,0,240.3133333,ACTIVE,23.84,46.015,20.385,10.685,0.085,0.025,4121.818359,0,0,0,7
258636,Residential,EXPATS,India,M,0,2012,2019,175.0644119,194.3816667,1,706.43,2,1,1,185.3433333,ACTIVE,192.645,29.075,24.345,29.265,8.49,0.315,749.4140625,0,0,0,7
258637,Residential,EXPATS,United States of America,M,0,2012,2019,213.0933956,248.3,1,497.9383333,1,2,0,246.7016667,ACTIVE,341.26,424.045,39.685,30.285,23.655,0.29,1172.652344,0,0,0,7
258638,Residential,EXPATS,Egypt,M,0,2012,2019,213.9999561,169.4133333,1,609.6166667,0,1,1,133.1233333,ACTIVE,221.585,341.505,40.755,154.6,0,0.45,4.795410156,0,0,0,7
258639,Residential,EXPATS,Iran,M,0,2012,2019,94.91031409,95,1,967.1466667,4,1,2,107.2,ACTIVE,38.51,74.425,0.975,36.985,41.75,3.85,0,0,0,0,7
258640,Residential,YOUTH,India,F,0,2012,2019,554.1778136,582.4383333,1,551.32,0,1,0,551.32,ACTIVE,328.49,345.465,113.125,157.29,65.925,56.54,10163.02588,0,0,0,7
258641,Residential,EXPATS,Turkey,M,0,2012,2019,613.3892937,570.55,1,626.1433333,1,1,2,626.1433333,ACTIVE,105.005,39.025,18.515,39.42,12.88,10.99,12015.84668,0,0,0,7
258642,Residential,EXPATS,Palestinian Territory,M,0,2012,2019,106.2905814,111.6416667,1,443.1433333,0,3,0,108.4766667,ACTIVE,1.725,0.295,0,0.21,0,0,29.60449219,0,0,0,7
258643,Residential,EXPATS,Tunisia,M,0,2012,2019,207.5655302,304.6716667,2,831.9316667,1,1,1,208.2583333,ACTIVE,33.085,0.985,0,76.53,31.135,72.35,66.45654297,0,0,0,7
258644,Prestige,EMIRATI,United Arab Emirates,F,0,2012,2019,1071.640685,1203.215,1,1177.481667,1,1,0,1135.145,ACTIVE,2025.085,89.155,29.12,34.37,24.46,0.37,8327.34375,0,0,0,7
258645,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,659.0819718,701.6783333,1,2987.008333,2,3,1,652.5466667,ACTIVE,902.405,82.485,58.575,105.215,43.875,37.35,12150.62305,0,0,0,7
258646,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,594.8291481,604.1233333,1,1559.346667,1,3,1,588.55,ACTIVE,1079.94,29.28,60.135,31.025,0,0,20773.98193,0,0,0,7
258647,Residential,EXPATS,Pakistan,M,0,2012,2019,345.2893871,370.5,2,1963.408333,3,2,1,358.0933333,ACTIVE,0,0,0,0,0,0,0.008300781,0,0,0,7
258648,Prestige,EXPATS,Iraq,M,0,2012,2019,775.1021798,847.3383333,1,3224.38,2,2,1,844.025,ACTIVE,756.745,123.465,46.44,42.625,6.55,0.415,14472.78076,0,0,0,7
258649,Prestige,EXPATS,Iraq,M,0,2012,2019,1483.150281,1788.208333,1,3224.38,2,2,1,1603.79,ACTIVE,1032.375,67.285,54.265,56.3,96.995,11.375,20103.66211,0,0,0,7
258650,Residential,EXPATS,Syrian Arab Republic,M,0,2012,2019,169.3206598,166.5416667,1,1626.323333,8,4,1,155.0833333,ACTIVE,100.255,8.74,8.725,0.34,50.125,0,93.03222656,0,0,0,7
258651,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,72.65842823,74.5,1,139.79,0,3,0,76.36666667,ACTIVE,18.535,0,0.24,0,0,0,0,0,0,1,7
258652,Residential,EXPATS,Yemen,M,0,2012,2019,150.7764457,168.0333333,1,596.135,5,1,1,154.255,ACTIVE,20.175,35.53,5.15,25.785,85.175,0.67,13345.68701,0,0,0,7
258653,Residential,EXPATS,Lebanon,M,0,2012,2019,152.8173239,161.895,1,494.2716667,1,1,1,153.6383333,ACTIVE,35.305,59.97,3.865,8.14,68.29,0,1824.213867,0,0,0,7
258654,Residential,EXPATS,Philippines,M,0,2012,2019,331.9432591,350.0083333,3,1148.32,1,3,1,321.4766667,ACTIVE,51.39,79.945,11.485,23.76,1.2,0,4148.479004,0,0,0,7
258655,Residential,EXPATS,Jordan,M,0,2012,2019,310.3742116,285.475,5,852.9366667,1,2,0,297.8066667,ACTIVE,193.89,151.82,12.47,62.15,20.7,0,1837.09375,0,0,0,7
258656,Residential,EXPATS,Palestinian Territory,M,0,2012,2019,149.1548557,40.7,1,714.4666667,5,2,1,150.0266667,ACTIVE,6.535,1.74,0,0.235,0,0,0,0,0,0,7
258657,Residential,EXPATS,France,M,0,2012,2019,150.9850753,181.9433333,1,498.265,2,1,1,195.5616667,ACTIVE,675.15,304.085,21.35,70.835,0.035,2.685,6927.136719,0,0,1,7
258658,Residential,EXPATS,Oman,M,0,2012,2019,309.8529744,288.3333333,2,1383.09,0,2,4,253.3066667,ACTIVE,13.925,19.44,0,100.06,216.595,78.49,0,0,0,0,7
258659,Residential,EXPATS,Jordan,F,0,2012,2019,690.6161298,670.0216667,1,644.4016667,1,1,0,632.2133333,ACTIVE,518.415,412.235,237.41,185.66,0,0,8624.258301,0,0,1,7
258660,Prestige,EXPATS,India,M,0,2012,2019,911.9487975,800.9416667,1,1377.721667,0,1,1,763.1283333,ACTIVE,416.375,279.265,56.63,149.02,115.725,25.185,1243.549805,0,0,0,7
258661,Residential,EMIRATI,United Arab Emirates,F,0,2012,2019,626.8223731,679.8116667,2,799.865,2,2,0,653.2116667,ACTIVE,249.925,314.88,83.15,44.635,0,1.09,10294.63086,0,0,0,7
258662,Residential,EMIRATI,United Arab Emirates,F,0,2012,2019,348.8476619,374.6533333,2,797.5033333,0,2,1,383.31,ACTIVE,383.46,327.805,60.815,26.435,4.405,0.01,5163.789551,0,0,0,7
258663,Residential,EXPATS,Pakistan,M,0,2012,2019,296.3635321,285.8733333,1,826.945,1,2,1,325.1733333,ACTIVE,346.08,444.735,14.565,123.005,178.755,5.01,4566.600586,0,0,0,7
258664,Prestige,EMIRATI,United Arab Emirates,F,0,2012,2019,1627.560793,1513.53,1,2117.783333,6,1,0,1430.758333,ACTIVE,1077.135,33.04,74.09,21.25,10.015,2.11,17070.05469,0,0,0,7
258665,Residential,EXPATS,Poland,F,0,2012,2019,184.2966784,161.54,1,716.8433333,0,1,1,157.3883333,ACTIVE,4.8,31.365,3.66,17.6,1.16,0,2074.309082,0,0,0,7
258666,Residential,YOUTH,United Arab Emirates,M,0,2012,2019,32.15747344,34.61833333,1,887.915,1,2,0,33.16833333,ACTIVE,0,0,0,0,0,0,0,0,0,0,7
258667,Residential,EXPATS,Iran,M,0,2012,2019,239.4200023,256.055,1,1146.865,2,4,1,233.0983333,ACTIVE,65.245,39.185,8.49,80.165,47.68,64.255,95.77441406,0,0,1,7
258668,Residential,EXPATS,Jordan,M,0,2012,2019,654.1522579,658.3333333,2,559.83,0,1,0,559.83,ACTIVE,71.03,3.1,16.39,0.025,0,0,331.9921875,0,0,0,7
258669,Residential,EXPATS,Syrian Arab Republic,M,0,2012,2019,353.6289011,381.3016667,1,668.8466667,1,2,0,368.81,ACTIVE,295.925,14.82,48.17,2.08,86.59,0,880.0195313,0,0,0,7
258670,Residential,EXPATS,Iran,M,0,2012,2019,398.7557262,409.1516667,1,1626.781667,0,2,7,396.385,ACTIVE,192.4,24.91,19.235,44.94,28.715,19.505,849.375,0,0,0,7
258671,Residential,EXPATS,Iran,M,0,2012,2019,144.4237587,157.5,1,200.445,2,2,0,150,ACTIVE,184.55,2.765,0.5,0.675,0,0,3887.8125,0,0,0,7
258672,Residential,EXPATS,United States of America,M,0,2012,2019,257.2552237,258.2966667,1,250.8466667,0,1,0,250.8466667,ACTIVE,173.69,126.13,140.89,64.15,1.94,1.935,639.9487305,0,0,0,7
258673,Residential,EXPATS,Iran,M,0,2012,2019,203.0708395,208.26,1,1626.781667,0,2,7,198.1366667,ACTIVE,417.76,431.7,25.535,84.88,0,2.34,1918.725586,0,0,0,7
258674,Residential,EXPATS,Jordan,M,0,2012,2019,245.4229406,264.1683333,2,1478.233333,0,4,0,251.5866667,ACTIVE,236.185,110.295,3.035,3.59,205.82,0,6069.594727,0,0,0,7
258675,Residential,EMIRATI,United Arab Emirates,F,0,2012,2019,477.7793537,401.6666667,1,1130.87,0,2,0,458.2166667,ACTIVE,382.475,229.86,81.77,98.03,94.555,52.8,1145.712891,0,0,0,7
258676,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,49.34731336,52.5,1,4577.568333,0,6,1,50,ACTIVE,0,0,0,0,0,0,0,0,0,0,7
258677,Residential,YOUTH,United Arab Emirates,M,0,2012,2019,466.1317363,610.8333333,2,1264.035,2,1,0,620.2,ACTIVE,55.275,60.76,1.72,12.725,0,1.19,7545.600098,0,0,0,7
258678,Prestige,EMIRATI,United Arab Emirates,F,0,2012,2019,1330.606306,1766.765,2,5698.17,4,4,1,1364.736667,ACTIVE,733.69,599.02,77.61,53.585,14.075,2.275,5881.217285,0,0,0,7
258679,Residential,EXPATS,India,M,0,2012,2019,203.2172253,216.1416667,1,696.4,0,1,1,199.7133333,ACTIVE,160.55,29.115,1.225,55.53,77.875,27.185,3980.068359,0,0,0,7
258680,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,194.0495788,174.4466667,1,474.7916667,0,3,0,152.9833333,ACTIVE,291.195,1.88,0.895,2.425,0,0,4109.187012,0,0,0,7
258681,Prestige,EMIRATI,United Arab Emirates,F,0,2012,2019,713.5025957,733.69,3,1047.966667,1,2,0,709.6216667,ACTIVE,1052.185,1072.825,3.25,51.475,1.605,0,9711.017578,0,0,0,7
258682,Residential,EXPATS,Saudi Arabia,M,0,2012,2019,419.8606306,497.7066667,1,1508.608333,4,3,1,480.1533333,ACTIVE,88.67,9.425,24.14,14.335,39.17,13.915,431.7973633,0,0,0,7
258683,Prestige,EXPATS,Egypt,F,0,2012,2019,703.3578185,733.3333333,2,983.8266667,3,2,0,767.235,ACTIVE,794.375,48.41,50.675,22.335,50.27,2.11,5294.155762,0,0,0,7
258684,Residential,EXPATS,India,F,0,2012,2019,350.3230354,349.7716667,1,343.01,1,1,0,335.84,ACTIVE,269.185,320.73,47.87,113.61,156.45,16.84,5798.306152,0,0,0,7
258685,Residential,EXPATS,Lebanon,M,0,2012,2019,438.2018678,520.7933333,1,1661.446667,2,3,1,515.8,ACTIVE,218.04,29.925,31.175,42.42,141.79,21.305,2221.777344,0,0,0,7
258686,Residential,EXPATS,Pakistan,F,0,2012,2019,709.3778874,757.24,2,1074.27,0,1,1,714.97,ACTIVE,940.325,309.495,78.425,201.005,126.46,76.125,7572.258301,0,0,0,7
258687,Residential,EXPATS,Lebanon,M,0,2012,2019,264.3714149,279.2483333,1,610.7333333,0,2,1,261.6733333,ACTIVE,299.025,254.475,21.905,171.835,0,112.87,3370.704102,0,0,0,7
258688,Prestige,EMIRATI,United Arab Emirates,F,0,2012,2019,642.5226788,712.3733333,1,1070.5,0,1,1,771.5,ACTIVE,309.575,8.21,24.325,10.415,0,0,10739.78027,0,0,0,7
258689,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,297.2505225,276.1033333,1,2532.18,2,7,1,280.9966667,ACTIVE,533.925,288.72,5.345,6.475,0,0.015,11661.0918,0,0,0,7
258690,Residential,EMIRATI,United Arab Emirates,F,0,2012,2019,301.6322761,300.8333333,1,283.1116667,0,1,0,283.1116667,ACTIVE,58.885,15.125,14.68,9.51,0,1.375,4022.900391,0,0,0,7
258691,Residential,EXPATS,Lebanon,M,0,2012,2019,275.1435506,350.1283333,1,2522.548333,0,4,1,340.6433333,ACTIVE,760.81,169.54,98.32,48.945,0,0.31,8570.666992,0,0,0,7
258692,Residential,EXPATS,United Kingdom,M,0,2012,2019,228.6479808,205.3533333,1,191.795,0,1,0,191.795,ACTIVE,3.475,34.39,0.215,28.4,0,21.15,2010.05957,0,0,0,7
258693,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,188.0906477,170.8333333,1,1194.935,2,3,1,198.9966667,ACTIVE,369.735,213.385,6.12,19.955,0,0,0,0,0,0,7
258694,Residential,YOUTH,United Arab Emirates,F,0,2012,2019,492.1876896,511.2283333,1,524.6166667,0,1,0,524.6166667,ACTIVE,188.775,216.47,9.21,20.875,0,0.99,4602.316406,0,0,0,7
258695,Residential,EXPATS,Jordan,F,0,2012,2019,606.8933415,597.1533333,1,1839.253333,1,5,0,565.9,ACTIVE,241.035,173.56,31.295,19.585,7.615,0.445,18739.35986,0,0,0,7
258696,Residential,EXPATS,India,M,0,2012,2019,199.4984772,277.5,1,766.435,3,1,2,229.3483333,ACTIVE,203.615,37.96,13.325,28.215,0,3.405,2446.86084,0,0,0,7
258697,Residential,EXPATS,Venezuela,M,0,2012,2019,571.8926352,589.1366667,1,2170.69,0,2,1,597.055,ACTIVE,118.73,29.265,7.15,34.96,119.095,4.3,13978.74072,0,0,0,7
258698,Residential,EXPATS,Ireland,M,0,2012,2019,334.3760013,332.09,1,1834.728333,0,2,1,310.4916667,ACTIVE,26.19,43.875,14.08,18.715,0,0.225,1320.794922,0,0,0,7
258699,Residential,EXPATS,Jordan,M,0,2012,2019,446.3165286,433.3333333,1,967.4466667,2,1,1,439.765,ACTIVE,1022.835,27.26,12.835,42.665,46.55,0,8050.063477,0,0,0,7
258700,Prestige,EXPATS,United Kingdom,M,0,2012,2019,595.8995,869.3416667,2,1398.485,0,2,1,852.405,ACTIVE,235.525,20.21,9.725,17.675,216.275,1.16,6366.328125,0,0,0,7
258701,Residential,EMIRATI,United Arab Emirates,F,0,2012,2019,425.3638634,434.8116667,1,395.4066667,0,1,0,395.4066667,ACTIVE,160.23,154.735,112.465,42.575,0,1.73,5920.664063,0,187,0,7
258702,Residential,EMIRATI,United Arab Emirates,F,0,2012,2019,665.4939572,734.8833333,1,703.1516667,0,1,0,703.1516667,ACTIVE,505.62,15.14,15.91,6.195,5.975,0,25107.36328,0,0,0,7
258703,Prestige,EXPATS,Egypt,M,0,2012,2019,841.0704911,840.0266667,1,3901.441667,5,3,2,800.0433333,ACTIVE,739.29,149.65,43.44,169.065,416.245,95.89,1429.21875,0,0,0,7
258704,Residential,EXPATS,Lebanon,M,0,2012,2019,100.0440514,113.5866667,1,898.8116667,1,2,1,108.1766667,ACTIVE,22.835,0,0,0.02,66.395,0,0,0,0,0,7
258705,Prestige,EXPATS,Lebanon,M,0,2012,2019,1015.089759,1022.593333,1,1631.101667,2,1,1,979.4416667,ACTIVE,980.53,522.8,30.75,64.045,61.775,38.59,12409.46191,0,0,0,7
258706,Residential,EXPATS,Egypt,M,0,2012,2019,509.9678016,378.9133333,2,1079.938333,0,2,1,328.8416667,ACTIVE,81.62,130.065,6.95,54.925,52.085,5.635,4694.570313,0,0,0,7
258707,Residential,EXPATS,Egypt,M,0,2012,2019,448.4144321,481.3233333,2,924.3816667,1,2,0,501.9716667,ACTIVE,251.255,371.76,41.47,35.5,10.42,0,3233.910645,0,0,0,7
258708,Residential,EXPATS,United Arab Emirates,M,0,2012,2019,0,0,0,1516.895,2,2,0,0,ACTIVE,0,0,0,0,0,0,0,0,0,0,7
258709,Residential,EXPATS,Philippines,M,0,2012,2019,161.0832957,171.6666667,1,416.91,0,1,1,157.91,ACTIVE,51.835,43.03,2.4,3.49,81.31,0,1074.802734,0,0,0,7
258710,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,205.7227507,314.1666667,1,1667.23,4,2,2,246.04,ACTIVE,57.96,2.21,6.65,0.02,18.8,0.01,97.63183594,0,0,0,7
258711,Residential,EXPATS,Egypt,M,0,2012,2019,54.47623155,186.1666667,1,895.1916667,0,4,1,87.59,ACTIVE,10.96,48.89,0,35.6,0,0.335,36.19628906,0,0,0,7
258712,Prestige,EMIRATI,United Arab Emirates,M,0,2012,2019,1669.200615,1775.06,5,2355.496667,12,1,0,1658.038333,ACTIVE,22.495,0,1.325,0.26,0,0,61363.91113,0,0,0,7
258713,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,279.8956984,285.1733333,1,2267.17,5,5,1,251.59,ACTIVE,154,141.525,28.395,54.1,0,0,16274.1084,0,0,0,7
258714,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,447.1711164,471.6666667,1,2656.69,0,3,2,449,ACTIVE,0,0,0,0,0,0,0,0,0,0,7
258715,Residential,EXPATS,Egypt,F,0,2012,2019,291.074056,314.9333333,2,297.175,1,1,0,296.2733333,ACTIVE,234.625,4.935,27.86,5.25,0,0.25,7727.658691,0,0,0,7
258716,Prestige,EMIRATI,United Arab Emirates,M,0,2012,2019,551.5718172,858.3333333,2,1886.9,1,2,2,580.5666667,Out Going Bar Confirmed,826.825,310.98,2.915,254.115,11.625,5.425,453.8916016,0,0,0,7
258717,Prestige,EXPATS,Sri Lanka,M,1,2012,2018,879.2817782,930.3766667,2,1152.861667,0,2,0,906.955,ACTIVE,269.005,277.435,65.95,46.725,44.1,2.075,1443.425781,0,0,0,6
258718,Residential,EXPATS,Syrian Arab Republic,M,0,2012,2019,433.1501233,495.515,2,885.2833333,3,2,1,384.4483333,ACTIVE,894.525,259.48,67.485,184.475,1.285,0,2566.800293,0,0,1,7
